Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,3,1,1,0,0,0,1,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
canada thistle,15,4,23,27,3,37,5,0,0,0
wild bergamot,145,70,210,45,180,110,15,20,95,130
ox eye sunflower,12,1,12,8,4,0,5,0,5,0
yellow coneflower,9,42,12,23,43,0,6,35,21,55
red clover,0,4,0,0,0,18,28,16,0,8
virginia mountain mint,0,100,0,0,0,0,0,0,0,0
carolina horsenettle,0,0,0,1,8,7,0,0,0,0
alfalfa,0,0,0,0,0,3,34,0,0,0
hoary vervain,0,0,0,0,0,0,0,0,3,0
queen annes lace,0,0,0,0,0,0,0,0,0,1
