Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,0,0,0,1,0,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
common yarrow,60,5,0,0,100,0,0,0,0,0
birdsfoot trefoil,135,220,260,120,220,20,20,15,0,50
wild bergamot,174,190,180,180,235,110,340,180,320,50
queen annes lace,10,0,0,0,0,0,0,0,0,1
ox eye sunflower,20,37,10,30,0,10,3,8,18,11
yellow coneflower,12,0,0,0,20,0,0,0,13,8
canada thistle,0,5,0,0,0,0,0,0,0,0
virginia mountain mint,0,0,0,0,0,27,0,3,150,20
