Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,0,0,0,0,0,0,0
swamp milkweed ramet,0,1,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
ox eye sunflower,8,0,1,0,0,0,0,0,0,3
wild bergamot,335,304,93,47,2,1,0,0,1,0
yellow coneflower,38,30,43,13,0,0,0,0,0,0
canada thistle,42,19,10,2,0,0,0,0,0,0
prairie cinquefoil,13,17,11,12,0,0,0,0,0,0
hoary vervain,0,11,0,0,0,1,0,6,0,0
pale purple coneflower,0,1,0,0,0,0,0,0,0,0
black eyed susan,0,0,0,0,75,125,46,36,7,14
yellow wood sorrel,0,0,0,0,0,0,0,190,400,82
bull thistle,0,0,0,0,0,0,0,0,3,0
