Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,0,0,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,3,0
wild bergamot,49,91,90,21,0,20,0,20,10,25
eastern daisy fleabane,240,65,30,10,0,0,0,0,0,0
ox eye sunflower,25,29,0,0,28,81,40,65,40,35
yellow coneflower,0,29,4,72,61,60,50,6,20,40
birdsfoot trefoil,0,0,0,1,0,0,0,0,0,0
ironweed,0,0,0,0,14,0,0,0,0,0
hoary vervain,0,0,0,0,0,0,0,2,0,0
virginia mountain mint,0,0,0,0,0,0,0,0,0,9
butterfly milkweed,0,0,0,0,0,0,0,0,3,0
