Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,0,0,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
yellow coneflower,18,34,76,43,62,21,9,0,0,5
ox eye sunflower,17,1,9,31,57,6,21,19,0,31
eastern daisy fleabane,30,0,84,110,0,0,0,0,0,100
new england aster,4,0,0,0,0,24,9,4,0,0
black eyed susan,4,0,13,50,16,0,0,0,0,0
pale purple coneflower,3,0,2,6,0,0,0,0,0,0
virginia mountain mint,0,118,7,0,80,0,0,0,0,0
prairie blazing star,0,0,1,1,0,0,0,0,5,0
wild bergamot,0,0,10,19,18,3,0,6,1,0
queen annes lace,0,0,6,0,2,1,1,0,3,0
prairie cinquefoil,0,0,4,0,0,0,0,0,0,0
red clover,0,0,0,0,0,2,0,0,0,0
hemp dogbane,0,0,0,0,0,0,0,0,0,21
