Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,0,0,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
wild bergamot,33,63,80,121,20,135,65,120,23,65
yellow coneflower,7,2,5,4,0,1,4,0,1,0
ox eye sunflower,7,5,1,2,16,16,2,8,0,0
hoary vervain,4,0,0,0,0,0,0,0,0,0
morning glory,0,0,1,4,0,3,2,0,1,1
canada thistle,0,0,0,2,15,0,0,0,0,0
alfalfa,0,0,0,0,1,0,0,0,1,2
prairie cinquefoil,0,0,0,0,0,0,0,0,2,0
