Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,0,0,0,0,0,3,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
yellow coneflower,0,0,4,2,0,0,0,0,0,4
golden alexanders,0,0,3,0,0,0,0,0,0,0
wild bergamot,0,0,8,0,0,0,6,0,0,0
ox eye sunflower,0,0,1,0,0,0,1,0,0,0
maximilian sunflower,0,0,0,8,0,0,0,0,0,0
pale purple coneflower,0,0,0,0,0,0,0,1,1,0
hoary vervain,0,0,0,0,0,0,0,1,0,0
prairie cinquefoil,0,0,0,0,0,0,0,0,0,1
