Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,0,0,0,0,1,5,6
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0
yellow coneflower,117,93,56,26,57,32,59
wild bergamot,50,18,44,24,90,0,19
ox eye sunflower,3,7,0,0,0,0,7
canada thistle,26,25,24,0,6,0,0
virginia mountain mint,0,0,0,0,0,5,0
yellow sweet clover,0,2,0,0,0,0,0
hoary vervain,0,0,1,1,0,0,0
purple prairie clover,0,0,55,0,0,0,0
prairie cinquefoil,0,0,0,4,0,0,0
sawtooth sunflower,0,0,0,2,0,0,0
tall boneset,8,84,30,0,0,0,0
