Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,3,1,9,0,4,0,2,0,0,3
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
canada thistle,31,60,49,49,61,33,30,31,39,19
yellow coneflower,75,6,5,44,50,63,55,0,2,11
hoary vervain,0,0,3,0,0,0,0,0,0,0
ox eye sunflower,28,47,36,12,6,0,3,10,6,0
wild bergamot,17,76,15,55,145,101,67,75,94,50
alfalfa,9,0,0,0,0,0,0,5,3,10
canada milk vetch,3,0,0,0,0,0,0,0,0,0
ironweed,0,0,0,0,10,0,0,0,0,0
