Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,2,0,0,0,0,0,0,2
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
virginia mountain mint,0,0,0,0,0,0,0,0,5,0
yellow coneflower,84,80,62,105,42,95,70,120,18,40
wild bergamot,6,41,65,15,67,23,0,5,35,30
hoary vervain,0,0,4,0,0,0,0,0,0,0
ox eye sunflower,8,30,52,36,60,40,12,75,50,35
birdsfoot trefoil,3,0,40,0,130,15,150,0,0,8
sawtooth sunflower,3,0,0,0,0,0,0,0,0,0
carolina horsenettle,0,0,2,3,0,0,0,0,0,0
eastern daisy fleabane,0,0,0,0,0,0,10,15,0,85
white sweet clover,0,0,0,0,0,0,0,7,0,0
yellow sweet clover,0,0,0,0,0,0,0,2,0,0
