Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,0,0,0,1,2,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
black eyed susan,0,0,0,3,2,0,0,0,0,0
black medic,32,19,12,15,23,18,0,5,8,4
bull thistle,0,0,0,0,0,0,0,0,1,0
canada thistle,0,0,3,0,0,0,0,0,0,0
common dandelion,1,0,0,0,0,0,0,0,0,0
common st johnswort,10,0,0,0,0,0,0,0,0,0
crown vetch,9,39,13,12,7,4,13,7,0,0
curly dock,0,0,4,0,0,0,0,0,0,0
eastern daisy fleabane,2,0,1,0,0,0,0,2,0,0
hoary vervain,0,0,2,0,0,2,0,1,0,0
red clover,0,0,7,2,0,0,0,0,0,0
wild parsnip,0,0,3,1,3,0,0,1,0,0
yellow coneflower,0,4,3,2,3,4,3,0,2,1
yellow sweet clover,5,3,0,7,1,2,0,0,0,0
