Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,2,1,3,3,0,1,0,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
black eyed susan,3,4,0,0,0,0,0,0,2,0
crown vetch,0,5,0,0,0,0,0,0,0,0
eastern daisy fleabane,2,0,0,1,0,0,0,0,0,0
groundcherry,0,1,0,0,0,0,0,0,0,0
illinois bundleflower,2,0,0,0,0,0,0,0,0,0
ox eye sunflower,0,0,0,0,4,2,0,0,3,0
partridge pea,2,28,27,7,0,0,6,9,0,0
prairie blazing star,0,0,0,0,0,6,2,0,0,0
red clover,1,2,0,0,0,0,0,0,0,0
sawtooth sunflower,0,0,0,0,0,0,0,0,1,6
white vervain,1,0,0,0,6,0,0,0,0,0
yellow coneflower,8,2,4,1,30,26,29,23,0,3
