Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,3,0,2,1,0,4,6,2,0,0
swamp milkweed ramet,0,0,1,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
birdsfoot trefoil,0,0,16,12,23,14,0,2,0,12
common st johnswort,0,0,0,0,0,0,0,1,0,0
creeping charlie,0,1,3,5,0,0,0,0,0,0
curly dock,0,0,0,1,0,2,0,1,0,0
eastern daisy fleabane,0,1,2,0,0,0,0,0,0,1
foxglove beardtongue,1,6,13,7,0,2,2,0,0,0
ironweed,0,0,0,0,0,0,0,0,1,6
pale purple coneflower,0,0,0,0,0,0,0,0,0,3
red clover,0,0,0,0,0,3,0,2,0,20
sulphur cinquefoil,0,0,0,0,0,0,1,0,0,1
wild parsnip,0,0,1,5,0,0,0,2,1,1
