Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,2,0,1,0,0,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
birdsfoot trefoil,3,7,0,13,8,1,0,2,6,1
carolina horsenettle,0,0,0,0,1,0,1,0,0,0
hoary vervain,0,0,0,0,0,0,0,0,8,0
ox eye sunflower,0,1,0,0,1,1,3,3,2,0
pale purple coneflower,0,0,0,0,0,0,0,0,3,0
virginia mountain mint,0,31,1,0,20,0,0,23,0,0
white prairie clover,0,0,0,0,0,0,0,2,0,0
wild bergamot,13,20,9,11,6,14,10,6,3,5
yellow coneflower,3,1,4,9,4,2,6,3,12,4
