Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,1,1,0,0,0,1,2,1,0,7
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,1,0,0,0,0,0,0
black eyed susan,0,0,2,0,0,0,0,0,0,0
brown eyed susan,3,5,0,3,0,0,0,0,0,0
hedge bindweed,0,0,0,0,0,0,1,0,0,0
ox eye sunflower,9,7,6,2,3,3,3,0,1,10
pale purple coneflower,6,5,0,4,0,6,1,0,1,0
prairie coreopsis,0,0,0,0,0,1,0,0,0,0
sulphur cinquefoil,0,0,0,0,1,0,1,0,0,0
wild bergamot,0,11,6,8,4,7,0,0,1,1
yellow coneflower,25,17,3,4,10,8,14,9,6,6
