Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,1,0,1,2,1,0,0,1,2,3
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
birdsfoot trefoil,11,22,7,3,12,15,25,10,12,18
canada thistle,3,2,0,0,1,0,3,4,3,0
common st johnswort,0,0,0,0,10,0,0,0,0,0
common yarrow,25,0,12,14,5,0,8,20,2,0
ox eye sunflower,2,7,8,4,8,0,16,4,12,11
red clover,3,0,7,4,0,0,7,0,0,0
virginia mountain mint,0,0,0,0,0,0,0,0,18,23
wild bergamot,0,36,18,25,17,9,22,11,17,14
yellow coneflower,8,3,12,16,10,0,5,0,3,0
yellow sweet clover,4,0,0,0,0,0,0,0,0,0
