Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,2,3,5,7,13,0,0
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,2,5,4,0,0,0,0
black eyed susan,0,0,4,0,0,0,0
brown eyed susan,2,1,0,0,2,0,1
illinois bundleflower,0,4,0,0,0,0,0
ironweed,0,0,0,0,0,0,1
ox eye sunflower,2,6,2,0,2,3,2
purple prairie clover,0,0,0,15,0,0,0
red clover,15,16,4,10,8,4,3
white clover,0,0,1,2,5,0,2
white sweet clover,14,19,3,11,18,20,34
wild bergamot,2,1,0,0,0,0,0
yellow coneflower,30,23,18,33,28,48,49
yellow sweet clover,1,5,0,0,2,0,0
