Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,1,0,0,0,0,1,0,2,2
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
birdsfoot trefoil,10,7,3,9,6,0,0,0,0,0
canada thistle,0,0,0,1,0,0,0,0,0,0
common yarrow,13,0,0,0,0,0,0,0,0,0
ox eye sunflower,2,7,13,22,9,0,8,5,1,5
queen annes lace,1,0,0,0,2,0,0,0,0,1
red clover,1,0,0,2,2,0,0,0,0,0
sawtooth sunflower,1,0,0,0,0,0,0,0,0,0
virginia mountain mint,0,0,0,0,0,0,1,40,7,26
wild bergamot,0,0,0,3,1,0,1,2,0,0
yellow coneflower,5,5,22,18,10,4,7,2,4,7
