Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
common milkweed ramet,1,2,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0
birdsfoot trefoil,1,0,0,0,0,0
brown eyed susan,1,0,0,0,0,0
flowering spurge,0,3,0,0,0,0
hoary vervain,1,0,0,0,0,0
new england aster,0,0,0,0,3,0
ox eye sunflower,3,5,0,0,5,0
prairie blazing star,0,3,2,1,0,0
queen annes lace,3,5,10,11,13,22
red clover,5,12,5,16,23,22
virginia mountain mint,7,2,2,6,20,1
white sweet clover,0,0,5,9,0,0
wild bergamot,0,1,0,0,0,0
yellow coneflower,22,5,7,5,10,9
yellow sweet clover,0,0,1,2,0,0
