Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
common milkweed ramet,0,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0
butterfly milkweed ramet,0,2,0,0,0,0
canada goldenrod,1,1,0,0,0,0
hedge bindweed,1,0,0,0,0,0
new england aster,0,0,0,0,0,3
ox eye sunflower,2,2,2,2,2,3
queen annes lace,3,4,0,1,8,3
red clover,0,0,6,1,1,11
sawtooth sunflower,2,0,0,0,0,0
showy tick trefoil,0,0,2,0,0,3
stiff goldenrod,1,0,0,0,0,2
virginia mountain mint,0,0,2,4,0,0
white heath aster,0,0,1,0,0,0
yellow coneflower,10,3,1,4,1,0
