Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,7,9,5,5,4,8,11,3,3,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
giant ragweed,0,10,14,6,0,0,0,0,0,0
groundcherry,2,0,1,0,0,0,0,0,0,0
ironweed,0,0,1,0,0,0,0,0,0,0
ox eye sunflower,1,9,3,5,0,0,4,8,9,8
red clover,0,8,20,20,0,1,0,0,0,0
stiff goldenrod,0,0,0,0,1,0,0,0,1,1
white heath aster,0,0,4,0,0,1,0,0,2,0
yellow coneflower,4,0,10,0,0,1,9,7,5,1
