Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,1,0,0,0,0,0,3,1,0,3
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
canada goldenrod,10,9,9,0,3,1,10,0,0,3
hedge bindweed,0,0,0,0,0,0,1,0,0,0
ox eye sunflower,5,0,5,4,9,8,11,0,2,3
partridge pea,3,3,9,7,1,0,0,0,0,0
round headed bush clover,0,0,0,0,0,0,2,11,0,0
sawtooth sunflower,0,0,0,1,0,0,0,0,0,0
showy tick trefoil,2,0,0,0,0,0,0,0,0,0
stiff goldenrod,2,0,0,1,0,0,0,0,0,2
white heath aster,0,0,0,0,0,0,0,0,0,3
yellow coneflower,0,0,0,1,3,0,5,0,5,9
