"common_name" "genus" "species" "field_count_unit" "technical_count" "inflorescence_name_when_technical"
"swamp milkweed" "Asclepias" "incarnata" "umbel" "coumpound umbel" ""
"common milkweed" "Asclepias" "syriaca" "umbel" "simple umbel" ""
"whorled milkweed" "Asclepias" "verticillata" "umbel" "simple umbel" ""
"butterfly milkweed" "Asclepias" "tuberosa" "umbel" "coumpound umbel" ""
"prickly lettuce" "Lactuca" "serriola" "head" "head" ""
"common evening primrose" "Oenothera" "biennis" "head" "flower" ""
"common dandelion" "Taraxacum" "officinale" "head" "head" ""
"partridge pea" "Chamaecrista" "fasiculata" "head" "flower" ""
"common cinquefoil" "Potentilla" "simplex" "head" "flower" ""
"wild mustard" "Sinapsis" "arvensis" "umbel" "elongate raceme" ""
"velvetleaf" "Abutilon" "theophrasti" "head" "flower" ""
"groundcherry" "Physalis" "heterophylla" "head" "flower" ""
"prairie coreopsis" "Coreopsis" "palmata" "head" "head" ""
"jerusalem artichoke" "Helianthus" "tuberosus" "head" "head" ""
"sawtooth sunflower" "Helianthus" "grosseserratus" "head" "head" ""
"maximilian sunflower" "Helianthus" "maximiliani" "head" "head" ""
"ox-eye sunflower" "Heliopsis" "helianthoides" "head" "head" ""
"compass plant" "Silphium" "laciniatum" "head" "head" ""
"brown-eyed susan" "Rudbeckia" "triloba" "head" "head" ""
"black-eyed susan" "Rudbeckia" "hirta" "head" "head" ""
"yellow coneflower" "Ratibida" "pinnata" "head" "head" ""
"birdsfoot trefoil" "Lotus" "corniculatus" "umbel" "simple umbel" ""
"black medic" "Medicago" "lupulina" "umbel" "simple umbel" ""
"stiff goldenrod" "Solidago" "rigidum" "ramet" "ramet" "corymbiform (flat-topped cluster) arrangement of  heads"
"showy goldenrod" "Solidago" "speciosa" "ramet" "ramet" "corymbiform (flat-topped cluster) arrangement of  heads"
"canada goldenrod" "Solidago" "altissima" "ramet" "ramet" "corymbiform (flat-topped cluster) arrangement of  heads"
"yellow sweet clover" "Melilotus" "officinalis" "ramet" "ramet" ""
"golden alexanders" "Zizia" "aurea" "umbel" "compound umbel" ""
"wild parsnip" "Pastinaca" "sativa" "umbel" "compound umbel" ""
"common mullein" "Verbascum" "thapsus" "ramet" "spike" ""
"pale purple coneflower" "Echinacea" "pallida" "head" "head" ""
"showy tick trefoil" "Desmodium" "canadense" "ramet" "ramet" "panicle (branched clusters of fls)"
"great blue lobelia" "Lobelia" "siphilitica" "ramet" "raceme" ""
"alfalfa" "Medicago" "sativa" "spike (flower cluster)" "raceme" ""
"red clover" "Trifolium" "pratense" "umbel" "simple umbel" ""
"canada thistle" "Cirsium" "arvense" "head" "head" ""
"musk thistle" "Carduus" "nutans" "head" "head" ""
"wild bergamot" "Monarda" "fistulosa" "head" "head" ""
"ironweed" "Vernonia" "fasciculata" "ramet" "ramet" "corymbiform (flat-topped cluster) arrangement of  heads"
"rough blazingstar" "Liatris" "aspera" "ramet" "ramet" "racemic heads"
"prairie blazingstar" "Liatris" "pycnostachya" "ramet" "ramet" "racemic heads"
"purple prairie clover" "Dalea" "purpurea" "head" "spike" ""
"leadplant" "Amorpha" "canescens" "spike" "raceme" ""
"blue vervain" "Verbena" "hastata" "spike" "raceme" ""
"hoary vervain" "Verbena" "stricta" "spike" "raceme" ""
"blue wild indigo" "Baptisia" "australis" "spike" "raceme" ""
"pennsylvania smartweed" "Polygonum" "pensylvanicum" "spike" "raceme" ""
"lanceleaf fogfruit" "Phyla" "lanceolata" "head" "spherical spike" ""
"prairie phlox" "Phlox" "pilosa" "ramet" "ramet" "fls grouped in panicle"
"new england aster" "Symphyotrichum" "novae-angliae" "head" "head" ""
"smooth blue aster" "Symphyotrichum" "laeve" "head" "head" ""
"chicory" "Cichorium" "" "head" "head" ""
"common mallow" "Malva" "neglecta" "head" "flower" ""
"morning glory" "Convolvulus" "" "head" "flower" ""
"whitestar" "Ipomoea" "lacunosa" "head" "flower" ""
"heath aster" "Symphyotrichum" "ericoides" "head" "head" ""
"eastern daisy fleabane" "Erigeron" "annus" "ramet" "ramet" "fls are single heads terminating axillary peduncles"
"prairie cinquefoil" "Potentilla" "arguta" "head" "flower" ""
"flowering spurge" "Euphorbia" "corollata" "head" "flower" ""
"carolina horsenettle" "Solanum" "carolinense" "head" "flower" ""
"foxglove beardtongue" "Penstemon" "digitalis" "head" "flower" ""
"bladder campion" "Silene" "vulgaris" "head" "flower" ""
"common mountain mint" "Pycnanthemum" "virginianum" "umbel" "umbel-like clusters of fls" "not technically umbels"
"common yarrow" "Achillea" "millefolium" "umbel" "corymb" "like umbel but not all fls' peduncles (stalk bearing each fl) branch from common point"
"queen anne's lace" "Daucus" "carota" "umbel" "compound umbel" ""
"tall boneset" "Eupatorium" "altissimum" "umbel" "corymbiform heads" ""
"white clover" "Trifolium" "repens" "umbel" "umbel" ""
"white prairie clover" "Dalea" "candida" "head" "spike" ""
"white sweet clover" "Melilotus" "alba" "ramet" "simple raceme" ""
"swamp smartweed" "Polygonum" "hydropiperoides" "spike" "spikiform racemes" "racemes that are like spikes (i.e. more dense fls on raceme than \"normal\" raceme"
"culver's root" "Veronicastrum" "virginicum" "spike" "spikiform racemes" ""
"white wild indigo" "Baptisia" "alba" "spike" "raceme" ""
"milk vetch" "Astragalus" "canadensis" "spike" "raceme" ""
"plantain" "Plantago" "" "spike" "spike" ""
"stinging nettle" "Urtica" "dioica" "ramet" "axillary catkin-like infls" "catkin = flowering spike that is downy, pendulous, and has fls of only a single sex"
