common_name,field_count_unit,genus,species,native_introduced_both,planted_non_planted,technical_count,inflorescence_name_when_technical,,,,,
common milkweed,umbel,Asclepias,syriaca,native,planted,simple umbel,,,,,,
deptford pink,head,Dianthus,armeria,introduced,non planted,,,,,,,
panicledleaf tick trefoil,ramet,Desmodium,paniculatum,native,non planted,,,,,,,
smartweed,spike,Polygonum,pensylvanicum_persicaria_amphibium_hydropiperoides,both,non planted,raceme,racemic heads,,,,,
swamp milkweed,umbel,Asclepias,incarnata,native,planted,coumpound umbel,,,,,,
butterfly milkweed,umbel,Asclepias,tuberosa,native,planted,coumpound umbel,,,,,,
whorled milkweed,umbel,Asclepias,verticillata,native,non planted,simple umbel,,,,,,
birdsfoot trefoil,umbel,Lotus,corniculatus,introduced,non planted,simple umbel,,,,,,
black medic,umbel,Medicago,lupulina,introduced,non planted,simple umbel,,,,,,
black eyed susan,head,Rudbeckia,hirta,native,planted,head,,,,,,
bog yellow-cress,umbel,Rorippa ,paulustris,native,non planted,,,,,,,
brown eyed susan,head,Rudbeckia,triloba,native,non planted,head,,,,,,
buffalobur nightshade,head,Solanum,rostratum,native,non planted,,,,,,,
canada goldenrod,ramet,Solidago,altissima,native,non planted,ramet,corymbiform (flat-topped cluster) arrangement of  heads,,,,,
canada lettuce,head,Lactuca,canadensis,native,non planted,,,,,,,
common cinquefoil,head,Potentilla,simplex,native,non planted,flower,,,,,,
common dandelion,head,Taraxacum,officinale,both,non planted,head,,,,,,
common evening primrose,head,Oenothera,biennis,native,non planted,flower,,,,,,
common mullein,ramet,Verbascum,thapsus,introduced,non planted,spike,,,,,,
common purslane,head,Portulaca,oleracea,both,non planted,head,,,,,,
common sneezeweed,head,Helenium,autumnale,native,non planted,,,,,,,
common st johnswort,head,Hypericum,perforatum,introduced,non planted,,,,,,,
compass plant,head,Silphium,laciniatum,native,non planted,head,,,,,,
cup plant,head,Silphium,perfoliatum,native,non planted,,,,,,,
golden alexanders,umbel,Zizia,aurea,native,planted,compound umbel,,,,,,
groundcherry,head,Physalis,heterophylla,native,non planted,flower,,,,,,
hawkweed,head,Hieracium,,both,non planted,,,,,,,
jerusalem artichoke,head,Helianthus,tuberosus,native,non planted,head,,,,,,
maximilian sunflower,head,Helianthus,maximiliani,native,non planted,head,,,,,,
ox eye sunflower,head,Heliopsis,helianthoides,native,planted,head,,,,,,
partridge pea,head,Chamaecrista,fasciculata,native,planted,flower,,,,,,
pineapple weed,head,Matricaria,discoidea,introduced,non planted,head,,,,,,
prairie coreopsis,head,Coreopsis,palmata,native,planted,head,,,,,,
prickly lettuce,head,Lactuca,serriola,introduced,non planted,head,,,,,,
prickly sowthistle,head,Sonchus,asper,introduced,non planted,head,,,,,,
rough cinquefoil,head,Potentilla ,norvegica,native,non planted,,,,,,,
sawtooth sunflower,head,Helianthus,grosseserratus,native,planted,head,,,,,,
showy goldenrod,ramet,Solidago,speciosa,native,planted,ramet,corymbiform (flat-topped cluster) arrangement of  heads,,,,,
silver cinquefoil,head,Potentilla,argentea,introduced,non planted,,,,,,,
stiff goldenrod,ramet,Solidago,rigidum,native,planted,ramet,corymbiform (flat-topped cluster) arrangement of  heads,,,,,
sulphur cinquefoil,head,Potentilla,recta,introduced,non planted,,,,,,,
velvetleaf,head,Abutilon,theophrasti,introduced,non planted,flower,,,,,,
wild mustard,umbel,Sinapsis,arvensis,introduced,non planted,elongate raceme,,,,,,
wild parsnip,umbel,Pastinaca,sativa,introduced,non planted,compound umbel,,,,,,
yellow coneflower,head,Ratibida,pinnata,native,planted,head,,,,,,
yellow salsify,head,Tragopogon,dubius,introduced,non planted,head,,,,,,
yellow sweet clover,ramet,Melilotus,officinalis,introduced,non planted,ramet,,,,,,
yellow wood sorrel,head,Oxalis,stricta,native,non planted,head,,,,,,
alfalfa,spike (flower cluster),Medicago,sativa,introduced,non planted,raceme,,,,,,
blue vervain,spike,Verbena,hastata,native,planted,raceme,,,,,,
blue wild indigo,spike,Baptisia,australis,native,non planted,raceme,,,,,,
bull thistle,head,Cirsium,vulgare,introduced,non planted,,,,,,,
canada germander, ramet, Teucrium, canadense, native,non planted,,,,,,,
canada thistle,head,Cirsium,arvense,introduced,non planted,head,,,,,,
clasping venus looking glass,head,Triodanis,perfoliata,native,non planted,head,,,,,,
common selfheal,spike,Prunella,vulgaris,native,non planted,,,,,,,
corn speedwell, head, Veronica, arvensis, introduced,non planted,,,,,,,
