site_id,transect_id,site_name,grant,r1_transect_length,r2_transect_length,r3_transect_length,sum_transect_lengths,r1_date,r2_date,r3_date,r3_date_monarch_resample,total_#_rounds,area_m2,acres,r1_section_length,r2_section_length,r3_section_length,r1_monarch_time,r2_monarch_time,r3_monarch_time,,,,,,,,,,,,,,,,,,
byd1,tbyd1a,Boyd Farm 1,iacig,100,100,100,300,6/28/2016,7/26/2016,8/15/2016,,3,1000,0.25,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,
byd2,tbyd2a,Boyd Farm 2,iacig,100,100,100,300,6/28/2016,7/26/2016,8/15/2016,,3,1000,0.25,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,
cra1,tcra1a,Crawfordsville,iacig,70,70,70,210,6/30/2016,7/25/2016,8/13/2016,,3,616,0.15,20,20,20,NA,20,20,,,,,,,,,,,,,,,,,,
uth1,tuth1a,Uthe North Riparian 1,iacig,100,100,100,300,6/28/2016,7/26/2016,8/15/2016,,3,500,0.12,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,
uth2,tuth2a,Uthe North Riparian 2,iacig,100,100,100,300,6/28/2016,7/26/2016,8/15/2016,,3,600,0.15,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,
uth3,tuth3b,Uthe South Oxbow,iacig,NA,100,100,200,NA,7/26/2016,8/15/2016,,2,2000,0.49,NA,20,20,NA,20,20,,,,,,,,,,,,,,,,,,
all1,tall1a,Allee Res. Farm 1,ncig,50,50,50,150,6/30/2016,7/21/2016,8/15/2016,,3,1498,0.37,10,20,20,10,5,20,,,,,,,,,,,,,,,,,,
all2,tall2a,Allee Res. Farm 2,ncig,50,50,50,150,6/30/2016,7/21/2016,8/15/2016,,3,1440,0.36,10,20,20,10,5,22,,,,,,,,,,,,,,,,,,
arm1,tarm1b,Armstrong Res. Farm 1,ncig,NA,60,60,120,NA,7/21/2016,8/12/2016,,2,1440,0.36,NA,20,20,NA,20,20,,,,,,,,,,,,,,,,,,
arm2,tarm2a,Armstrong Res. Farm 2,ncig,100,100,100,300,6/29/2016,7/21/2016,8/12/2016,,3,2500,0.62,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,
ber1,tber1a,Berry Patch 1,ncig,50,50,50,150,6/27/2016,7/20/2016,8/12/2016,,3,2000,0.49,20,20,20,10,6,20,,,,,,,,,,,,,,,,,,
ber3,tber3a,Berry Patch 3,ncig,NA,50,50,100,NA,7/20/2016,8/12/2016,8/17/2016,2,657,0.16,NA,20,20,NA,6,20,,,,,,,,,,,,,,,,,,
cre1,tcre1a,Crees,ncig,50,50,100,200,6/29/2016,7/21/2016,8/12/2016,,3,3134,0.77,10,10,20,10,20,20,,,,,,,,,,,,,,,,,,
dun2,tdun2a,Dunbar 2,ncig,100,100,100,300,6/27/2016,7/20/2016,8/10/2016,8/17/2016,3,2000,0.49,20,20,20,10,11,20,,,,,,,,,,,,,,,,,,
dun3,tdun3a,Dunbar 3,ncig,NA,100,100,200,NA,7/20/2016,8/10/2016,,2,2000,0.49,NA,20,20,NA,NA,22,,,,,,,,,,,,,,,,,,
pio1,tpio1a,DuPont Pioneer 1,ncig,80,80,80,240,6/27/2016,7/20/2016,8/12/2016,,3,4500,1.11,20,20,20,10,11,20,,,,,,,,,,,,,,,,,,
pio2,tpio2a,DuPont Pioneer 2,ncig,80,80,80,240,6/27/2016,7/20/2016,8/12/2016,,3,4500,1.11,20,20,20,10,11,20,,,,,,,,,,,,,,,,,,
gro1,tgro1a,Gronau 1,ncig,60,60,60,180,6/29/2016,7/21/2016,8/12/2016,,3,860,0.21,20,20,20,NA,7,20,,,,,,,,,,,,,,,,,,
gro2,tgro2a,Gronau 2,ncig,60,60,60,180,6/29/2016,7/21/2016,8/12/2016,,3,860,0.21,20,20,20,NA,7,20,,,,,,,,,,,,,,,,,,
nkn1,tnkn1a,Neely-Kinyon 1,ncig,50,50,100,200,6/29/2016,7/21/2016,8/12/2016,,3,2000,0.49,10,20,20,5,20,20,,,,,,,,,,,,,,,,,,
nkn2,tnkn2a,Neely-Kinyon 2,ncig,50,50,100,200,6/29/2016,7/21/2016,8/12/2016,,3,2000,0.49,10,20,20,10,20,20,,,,,,,,,,,,,,,,,,
nor1,tnor1b,Norris,ncig,NA,NA,50,50,NA,NA,8/15/2016,,1,750,0.19,NA,NA,20,NA,NA,20,,,,,,,,,,,,,,,,,,
sut2,tsut2a,Sutherland NWRF,ncig,100,100,100,300,6/30/2016,7/25/2016,8/11/2016,,3,2100,0.52,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,
sie1,tsie1a,Sievers,ncig,50,50,30,130,6/30/2016,7/21/2016,8/15/2016,,3,530,0.13,20,20,20,11,7,20,,,,,,,,,,,,,,,,,,
prd1,tprd1a,Prairie Ridge 1,ncig,100,100,100,300,6/30/2016,7/25/2016,8/11/2016,,3,2000,0.49,20,20,20,20,10,20,,,,,,,,,,,,,,,,,,
prd2,tprd2a,Prairie Ridge 2,ncig,100,100,100,300,6/30/2016,7/25/2016,8/11/2016,,3,2000,0.49,20,20,20,20,10,20,,,,,,,,,,,,,,,,,,
ver1,tver1a,Verhofste 1,ncig,100,100,100,300,6/29/2016,7/21/2016,8/12/2016,,3,3500,0.86,10,10,20,20,40,20,,,,,,,,,,,,,,,,,,
har1,thar1a,Haren,soy,30,30,30,90,6/27/2016,7/20/2016,8/11/2016,8/17/2016,3,350,0.09,10,10,20,10,10,20,,,,,,,,,,,,,,,,,,
nie1,tnie1a,Nielsen,soy,50,50,50,150,6/27/2016,7/20/2016,8/11/2016,,3,1080,0.27,10,20,20,15,20,20,,,,,,,,,,,,,,,,,,
van1,tvan1a,Van Diest 1,soy,50,50,50,150,6/27/2016,7/20/2016,8/11/2016,,3,1000,0.25,10,20,20,30,30,20,,,,,,,,,,,,,,,,,,
van2,tvan2a,Van Diest 2,soy,50,50,50,150,6/27/2016,7/20/2016,8/11/2016,8/17/2016,3,750,0.19,10,10,20,15,10,20,,,,,,,,,,,,,,,,,,
fis1,tfis1a,Fisher,soy,50,50,50,150,6/27/2016,7/20/2016,8/11/2016,8/17/2016,3,600,0.15,10,20,20,10,20,20,,,,,,,,,,,,,,,,,,
vos1,tvos1a,Voss,soy,50,50,50,150,6/27/2016,7/20/2016,8/11/2016,8/17/2016,3,600,0.15,10,20,20,10,20,20,,,,,,,,,,,,,,,,,,
jon1,tjon1a,Jones,soy,50,50,50,150,6/27/2016,7/20/2016,8/11/2016,8/17/2016,3,650,0.16,10,20,20,10,20,20,,,,,,,,,,,,,,,,,,
pre1,tpre1a,Prestage 1a,pork,80,80,70,230,7/1/2016,7/22/2016,8/12/2016,,3,1790,0.44,20,20,20,NA,20,20,,,,,,,,,,,,,,,,,,
pre1,tpre1b,Prestage 1b,pork,100,100,100,300,7/1/2016,7/22/2016,8/12/2016,,3,2000,0.49,20,20,20,NA,20,20,,,,,,,,,,,,,,,,,,
pre2,tpre2a,Prestage 2a,pork,100,100,100,300,7/1/2016,7/22/2016,8/12/2016,,3,1200,0.30,20,20,20,NA,20,21,,,,,,,,,,,,,,,,,,
pre2,tpre2b,Prestage 2b,pork,50,50,50,150,7/1/2016,7/22/2016,8/12/2016,,3,1900,0.47,10,10,20,NA,20,20,,,,,,,,,,,,,,,,,,
pre3,tpre3a,Prestage 3a,pork,100,100,100,300,7/1/2016,7/22/2016,8/12/2016,,3,2600,0.64,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,
pre3,tpre3b,Prestage 3b,pork,50,50,50,150,7/1/2016,7/22/2016,8/12/2016,,3,450,0.11,20,10,20,12,20,20,,,,,,,,,,,,,,,,,,
pre4,tpre4a,Prestage 4a,pork,80,80,80,240,7/1/2016,7/22/2016,8/12/2016,,3,2100,0.52,20,20,20,NA,20,22,,,,,,,,,,,,,,,,,,
pre4,tpre4b,Prestage 4b,pork,100,100,100,300,7/1/2016,7/22/2016,8/12/2016,,3,1000,0.25,20,20,20,15,20,20,,,,,,,,,,,,,,,,,,
bcr1,tbcr1a,Ben Crawford 1,pork,NA,50,50,100,NA,7/14/2016,8/15/2016,,2,825,0.20,NA,10,20,NA,10,20,,,,,,,,,,,,,,,,,,
bcr2,tbcr2a,Ben Crawford 2,pork,NA,50,50,100,NA,7/14/2016,8/15/2016,,2,275,0.07,NA,10,20,NA,10,20,,,,,,,,,,,,,,,,,,
tie1,ttie1a,Tiernan,pork,NA,30,30,60,NA,7/19/2016,8/12/2016,,2,600,0.15,NA,20,20,NA,10,NA,,,,,,,,,,,,,,,,,,
app1,tapp1a,Appelgate,pork,NA,NA,50,50,NA,NA,8/15/2016,,1,1000,0.25,NA,NA,20,NA,NA,20,,,,,,,,,,,,,,,,,,
