siteID,transectID,2016_milkweed_in_plot,2016_csg_native_status,2016_wsg_native_status,previous_mowing,2016_mowing,2016_herbicide,drainage_class1,soil_series1,soil_texture1,drainage_class2,soil_series2,soil_texture2,drainage_class3,soil_series3,soil_texture3
byd1,tbyd1a,no,introduced,introduced,monthly,monthly,glyphosate,poorly,coland,clay loam,,,,,,
byd2,tbyd2a,no,introduced,introduced,monthly,monthly,glyphosate,poorly,coland,clay loam,,,,,,
cra1,tcra1a,no,introduced,introduced,lawn,lawn,glyphosate,moderately well,nira,silty clay loam,,,,,,
uth1,tuth1a,no,introduced,introduced,none,NA,NA,poorly,coland,clay loam,,,,,,
uth2,tuth2a,yes,introduced,introduced,none,NA,NA,poorly,coland,clay loam,,,,,,
uth3,tuth3b,yes,native and introduced,native,none,burned once,glyphosate,poorly,coland,clay loam,,,,,,
all1,tall1a,no,introduced,introduced,monthly,monthly,glyphosate glyphosate,somewhat poorly,nicollet,clay loam,moderately well,clarion,loam,,,
all2,tall2a,no,introduced,introduced,monthly,monthly,glyphosate glyphosate,somewhat poorly,nicollet,clay loam,poorly drained,canisteo,clay loam,,,
arm1,tarm1b,yes,introduced,introduced,none,once,glyphosate glyphosate,poorly,clarinda,silty clay loam,,,,,,
arm2,tarm2a,no,introduced,introduced,lawn,lawn,glyphosate glyphosate,well,exira,silty clay loam,,,,,,
ber1,tber1a,yes,introduced,introduced,none,once,glyphosate glyphosate,well,storden,loam,poorly moderately well,coland terril complex,multiple loam,,,
ber3,tber3a,no,introduced,introduced,monthly,monthly,glyphosate glyphosate,well,storden,loam,,,,,,
cre1,tcre1a,yes,introduced,introduced,monthly,monthly,glyphosate glyphosate,somewhat poorly,lineville,silt loam,somewhat poorly,pershing,silt loam,somewhat poorly,arispe,silty clay loam
dun2,tdun2a,yes,introduced,introduced,none,hayed once,glyphosate glyphosate,well,lester,loam,,,,,,
dun3,tdun3a,yes,introduced,introduced,none,hayed once,glyphosate glyphosate,well,lester,loam,,,,,,
pio1,tpio1a,yes,introduced,introduced,none,none,clethodim,somewhat excessively,dickinson,fine sandy loam,somewhat poorly,spillville,loam,,,
pio2,tpio2a,yes,introduced,introduced,hayed often,hayed often,glyphosate glyphosate,somewhat poorly,spillville,loam,somewhat excessively,dickinson,fine sandy loam,,,
gro1,tgro1a,yes,introduced,introduced,none,hayed once,glyphosate glyphosate,well,marshall,silty clay loam,,,,,,
gro2,tgro2a,yes,introduced,introduced,none,hayed once,glyphosate glyphosate,well,judson ackmore colo complex,silt loam silty clay loam,well,marshall,silty clay loam,,,
nkn1,tnkn1a,no,introduced,introduced,hayed often,hayed often,glyphosate glyphosate,moderately well,sharpsburg,silty clay loam,moderately well,nira,silty clay loam,,,
nkn2,tnkn2a,no,introduced,introduced,hayed often,hayed often,glyphosate glyphosate,somewhat poorly,lamoni,silty clay loam,moderately well,nira,silty clay loam,,,
nor1,tnor1b,yes,introduced,introduced,none,hayed once,glyphosate glyphosate,moderately well,bassett,loam,,,,,,
sut2,tsut2a,no,introduced,introduced,harvest,harvest,glyphosate glyphosate,somewhat poorly,primghar,silty clay loam,pooly,marcus,silty clay loam,moderately well,sac,silty clay loam
sie1,tsie1a,yes,introduced,introduced,none,hayed once,NA,somewhat poorly,nicollet,clay loam,poorly,canisteo,clay loam,,,
prd1,tprd1a,yes,native,native,none,hayed once,glyphosate glyphosate,well,galva,silty clay loam,,,,,,
prd2,tprd2a,yes,native,native,none,hayed once,glyphosate glyphosate,somewhat poorly,primghar,silty clay loam,,,,,,
ver1,tver1a,yes,introduced,introduced,none,once,glyphosate glyphosate,well,arbor,loam,well,gara,loam,,,
har1,thar1a,yes,introduced,introduced,monthly,monthly,glyphosate,somewhat poorly,ottosen,clay loam,well,bode,clay loam,,,
nie1,tnie1a,yes,introduced,introduced,none,once,glyphosate glufosinate glyphosate,somewhat poorly,ottosen,clay loam,poorly,kossuth,silty clay loam,,,
van1,tvan1a,yes,introduced,native,none,none,clethodim glyphosate,poorly,coland,clay loam,,,,,,
dav1,tdav1a,yes,introduced,introduced,none,once,glyphosate glyphosate,poorly,webster,clay loam,,,,,,
fis1,tfis1a,yes,introduced,introduced,none,once,glyphosate glyphosate,very poorly,okoboji,silty clay loam,,,,,,
vos1,tvos1a,no,introduced,introduced,none,monthly,glyphosate glyphosate,poorly,canisteo,clay loam,,,,,,
jon1,tjon1a,yes,introduced,introduced,none,none,glyphosate,well,bode,clay loam,,,,,,
pre1,tpre1a,no,introduced,introduced,lawn,lawn,glyphosate glyphosate,poorly,canisteo,clay loam,somewhat poorly,nicollett,clay loam,well,clarion,loam
pre2,tpre2a,no,introduced,introduced,lawn,lawn,glyphosate glyphosate,well,clarion,loam,,,,,,
